regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
1,AZT-3TC-DAR/r,Second Line,,4/13/21 14:41
2,AZT-3TC-EFV,First Line,,4/14/21 7:40
3,ABC-3TC-EFV,First Line,,4/14/21 7:40
4,AZT-3TC-NVP,First Line,,4/14/21 7:40
5,ABC-3TC-EFV,First Line,,4/14/21 7:40
6,AZT-3TC-NVP,First Line,,4/14/21 7:40
7,TDF-3TC-EFV,First Line,,4/14/21 7:40
8,ABC-3TC-NVP,First Line,,4/14/21 7:40
9,TDF-3TC-EFV,First Line,,4/14/21 7:40
10,TDF-3TC-NVP,First Line,,4/14/21 7:40
11,AZT-3TC-EFV,First Line,,4/14/21 7:40
12,ABC-3TC-LPV/r,First Line,,4/22/21 21:22
13,TDF-3TC-DTG,First Line,,4/22/21 21:22
14,ABC-3TC-DTG,First Line,,4/22/21 21:22
15,AZT-3TC-LPV/r,First Line,,4/22/21 21:22
16,TDF-FTC-ATV/r,Second Line,,4/22/21 21:22
17,TDF-FTC-LPV/r,Second Line,,4/22/21 21:22
18,TDF-3TC-LPV/r,Second Line,,4/22/21 21:22
19,AZT-3TC-ATV/r,Second Line,,4/22/21 21:22
20,AZT-3TC-LPV/r,Second Line,,4/22/21 21:22
21,AZT-3TC-ATV/r,Second Line,,4/22/21 21:22
22,ABC-3TC-ATV/r,Second Line,,4/22/21 21:22
23,TDF-3TC-ATV/r,Second Line,,4/22/21 21:22
24,TDF-3TC-LPV/r,Second Line,,4/22/21 21:22
25,TDF-3TC-ATV/r,Second Line,,4/22/21 21:22
26,ABC-3TC-LPV/r,Second Line,,4/22/21 21:22
27,AZT-3TC-LPV/r,Second Line,,4/22/21 21:22
28,OTHERS,Second Line,,4/22/21 21:22
29,ABC-3TC-LPV/r,Second Line,,4/22/21 21:22
30,ABC-3TC-ATV/r,Second Line,,4/22/21 21:22
31,AZT-3TC-RAL,Second Line,,5/4/21 7:40
32,AZ/t-3TC-LPV/r,Second Line,,5/24/21 12:29
33,d4T-3TC-EFV,First Line,,5/24/21 21:59
34,TDF+3TC+ATV/R,Second Line,,5/24/21 22:00
35,AZT+3TC+ATV/R,Second Line,,5/24/21 22:00
36,ABC+3TC+ATV/R,Second Line,,5/24/21 22:00
37,ABC+3TC+LPV/R,Second Line,,5/24/21 22:00
38,ABC-3TC-LOP/r,Second Line,,5/25/21 13:38
41,TDF+3TC+EFV,First Line,,5/28/21 21:59
42,ABC+3TC+NVP,First Line,,6/7/21 21:59
43,3TC-TDF-NVP,First Line,,6/10/21 12:53
44,3TC-AZT-NVP,First Line,,6/10/21 12:56
45,3TC-TDF-ATV/r,Second Line,,6/10/21 13:03
46,TDF-3TC-DTG,Second Line,,6/11/21 4:23
47,D4T-3TC-NVP,First Line,,6/11/21 8:34
48,TDF-3TC-NVP,First Line,,6/11/21 11:12
49,TDF-3TC-DTG,,,6/14/21 7:54
50,ABC-3TC-NVP,First Line,,6/14/21 11:12
51,AZT-ABC-LPV/R,Second Line,,6/14/21 21:59
52,AZT-AZT-AZT-3TC/NVP,First Line,,6/17/21 13:50
53,AZT+3TC+DTG,Second Line,,6/17/21 21:59
55,TDF-3TC-EFV,Second Line,,6/21/21 21:59
56,ABC-3TC-LPV,Second Line,,6/23/21 8:31
57,ABC-3TC-DTG,Second Line,,6/24/21 12:29
58,ABC-3TC-LPV-RTV,First Line,,6/28/21 11:32
59,NVP-3TC-AZT,First Line,,6/28/21 13:09
60,TDF+3TC+NVP,First Line,,6/29/21 21:59
61,AZT-3TC-DTG,Second Line,,7/1/21 15:03
62,ABC-3TC-ATV,Second Line,,7/1/21 15:06
63,AZT-3TC-DTG,Third Line,,7/1/21 18:35
64,LeftBlank,Second Line,,7/3/21 6:24
65,ABC-3TC-LPV-RITon,First Line,,7/5/21 11:21
66,ABC+3TC+LPV/R,First Line,,7/5/21 11:45
67,EFV---------TDF/3TC,First Line,,7/6/21 8:49
68,EFV---------D4T/3TC,First Line,,7/6/21 10:10
69,ATR-RTV-----TDF/3TC,Second Line,,7/6/21 10:12
70,EFV---------AZT/3TC,First Line,,7/6/21 10:22
71,ABC-3TC-RAL,Second Line,,7/6/21 12:09
72,ZDV-3TC-TDF,First Line,,7/7/21 5:57
73,TDT-3TC-ATV/r,Second Line,,7/8/21 8:36
74,AZT-3TC-NVP,,,7/8/21 8:51
75,AZT-3TC-EFV,,,7/8/21 8:53
76,TDT-3TC-LPV/r,Second Line,,7/8/21 9:53
77,AZT-3TC-ATV/r,,,7/8/21 12:50
78,TDF-3TC-ATV/r,,,7/9/21 7:51
79,TDF-3TC-DTG-DAR/R/Etv,Third Line,,7/16/21 11:33
80,TDF-3TC-DTG,,,7/16/21 12:26
81,DRV+RTV+DTG,Third Line,,7/16/21 22:00
82,DAR/r-RAL-TDF-3TC,Third Line,,7/16/21 22:00
83,OTHERS,Third Line,,7/16/21 22:00
84,DAR/r-RAL-AZT-3TC,Third Line,,7/16/21 22:00
85,DAR/r-RAL-ABC-3TC,Third Line,,7/16/21 22:00
86,DAR/r-ETV-TDF-3TC,Third Line,,7/16/21 22:00
87,DRV+RTV+DTG+TDF+3TC,Third Line,,7/16/21 22:00
88,TDF+3TC+DTG+ATV/R,Third Line,,7/16/21 22:00
89,DRV+RTV+ETV+AZT/3TC,Third Line,,7/16/21 22:00
90,DRV+RTV+ETV,Third Line,,7/16/21 22:00
91,ABC-3TC-EFV/z,First Line,,7/19/21 10:49
92,ABC+3TC+DTG,Second Line,,7/19/21 22:00
93,AB/c-3TC-LPV/r,Second Line,,7/20/21 7:58
94,DRV-RTV-RAL,Third Line,,7/21/21 22:00
95,AZT-3TC-ATV-r,Second Line,,7/22/21 13:17
96,TDF-3TC-ATV/r,First Line,,7/23/21 10:12
97,DRV+RTV+DTG+TDF/3TC,Third Line,,7/26/21 22:00
98,TDT-3TC-DTG,Second Line,,7/30/21 12:39
99,TDT-3TC-DTG-DRV/r,Third Line,,7/30/21 13:22
100,DRV-RTV-DTG-ABC/3TC,Third Line,,8/3/21 8:36
101,AZT-3TC-EFV,,,8/3/21 12:00
102,NVP---------AZT/3TC,First Line,,8/4/21 8:12
103,--------EFV-ABC/3TC,First Line,,8/4/21 12:46
104,AZT-3TC-LPV-r,Second Line,,8/9/21 9:56
105,TDF-3TC-ATV-r,Second Line,,8/9/21 9:57
106,...-...-...,Second Line,,8/9/21 9:59
107,TDF-3TC-EFV/,First Line,,8/11/21 4:36
108,TDF-3TC-ATV-RTV,Second Line,,8/12/21 6:53
109,DRV-RTV-DTG,Third Line,,8/12/21 8:11
110,RAL-DRV-RTV,Third Line,,8/12/21 8:18
111,ABC-3TC-LPV-RIT,Second Line,,8/12/21 8:23
112,AZT/-3TC-ATV/r,Second Line,,8/12/21 13:21
113,AZT-3TC-VNP,First Line,,8/13/21 10:15
114,TDF-3TC-LPV/r/LPV/r,Second Line,,8/14/21 8:27
115,AZT-3TC-EFV,Second Line,,8/14/21 22:00
116,AZT-3TC-NVP,Second Line,,8/14/21 22:00
117,OtherRegimen,Second Line,,8/14/21 22:00
118,3TC-TDF-EFV,First Line,,8/18/21 12:57
119,AZT-3TC-DTG,First Line,,8/18/21 14:28
120,AZT-3TC-NVP,,,8/19/21 10:39
121,AZT-3TC-NVP/,First Line,,8/19/21 12:02
122,TD/f-3TC-ATV/r,Second Line,,8/19/21 12:03
123,TDF-3TC-DTG-DRV/RTV,Third Line,,8/20/21 6:22
124,3TC-TDF-EFV/,First Line,,8/20/21 12:47
125,ABC-3TC-LPV-RTV,Second Line,,8/24/21 9:19
126,TDF-3TC-ATV/r,,,8/24/21 11:02
127,DRV+RTV+DTG+AZT/3TC,Third Line,,8/24/21 22:00
128,TDF-3TC-ATV/r,,,8/25/21 7:50
129,ABC-3TC-LPV/r,,,8/25/21 9:50
130,AZT-3TC-LVP/r,Second Line,,8/25/21 14:08
131,ABC-3TC-LPV/r,,,8/25/21 18:58
132,DRV-RTV-DTG-TDF/3TC,Third Line,,8/26/21 6:55
133,AZT/-3TC-LPV/r,Second Line,,8/26/21 7:52
134,TRIom-3TC-TRIom,First Line,,8/26/21 12:55
135,3TC-TDF-LPV/r,Second Line,,8/26/21 13:01
136,DTG/-DAR-RITon,Third Line,,8/26/21 13:03
137,ABC/-3TC-DTG,Third Line,,8/26/21 13:03
138,TDF-3TC-DTG-DRV/r,Third Line,,8/26/21 13:20
139,ABC-3TC-NVP,,,8/26/21 14:08
140,AZT-3TC-LPV,Second Line,,8/26/21 14:15
141,ABC-3TC-LPV-r,First Line,,8/26/21 16:32
142,AZT-3TC-DTG/,Second Line,,8/27/21 12:17
143,TDF-3TC-LPV/r,First Line,,8/27/21 12:27
144,ABC+3TC+DRV+RTV,Third Line,,8/31/21 22:01
145,TDF-3TC-DTG-DRV/r/ETV,Third Line,,9/3/21 7:16
146,ABC-3TC-EFV,Second Line,,9/7/21 19:42
147,AZT-DDI-LPV/r,,,9/22/21 10:55
148,AZT-3TC-LPV/r,,,9/22/21 10:57
149,TDF-3TC-DTG,,,9/22/21 10:58
150,TLD-3TC-DTG-DRV/r,Third Line,,9/22/21 13:33
151,TDF-3TC-DTG,Third Line,,9/22/21 13:51
152,AZT-3TC-ATV/r,First Line,,9/22/21 14:27
153,ABC-3TC-DTG-DRV/RTV,Third Line,,9/24/21 12:26
154,TDF+3TC+DTG,Second Line,,9/27/21 9:22
155,AZT+3TC+RAL,Second Line,,9/27/21 9:22
156,TDF-3TC-DTG-ATV/r,First Line,,9/28/21 9:06
157,DRV+RTV+RAL,Third Line,,9/28/21 22:00
158,TDF-3TC-DTG-DRV/RIT,Third Line,,9/29/21 6:35
159,AZT-3TC-ATV-RTV,,,9/29/21 7:33
160,TDF-3TC-ATV-RTV,,,9/29/21 7:57
161,TLD-DRV-RTV,Third Line,,9/29/21 14:37
162,TDF-3TC-DTG-DVR,Third Line,,10/5/21 8:45
163,TDF-3TC-DTG/-DVR/r,Third Line,,10/5/21 10:04
164,DTG-ETR-DRV/r,Third Line,,10/5/21 10:46
165,TLD-ETV-DRV/r,Third Line,,10/5/21 10:58
166,TDF-3TC-DTG/r,Third Line,,10/5/21 11:32
167,TDF-3TC-EVP,First Line,,10/5/21 11:53
168,TDF-3TC-DRV/r,Third Line,,10/5/21 12:04
169,TDF-3TC-DTG-DVR/r,Third Line,,10/5/21 12:34
170,TDF-3TC-ATZ/r,Second Line,,10/5/21 13:24
171,CBV-DTG-DRV/r,Third Line,,10/5/21 13:25
172,ABC-3TC-DRV/r-RAL,Third Line,,10/5/21 21:06
173,ABC-3TC-LPV/r-DVR/r,Second Line,,10/5/21 21:18
174,RTV-DRV-TDF-3TC/DTG,Third Line,,10/5/21 21:32
175,TDF-3TC-DVR/r,Third Line,,10/5/21 21:44
176,TDF-3TC-DTG-DRV,Third Line,,10/5/21 21:52
177,DTG-DRV-DRV/r,Third Line,,10/5/21 22:44
178,DTG-DRV-RVC,Third Line,,10/5/21 23:15
179,ABC-3TC-DTG,Third Line,,10/6/21 3:10
180,TLD-DRV-ETV/r,Third Line,,10/6/21 3:59
181,ABC-3TC-ATV/r,Third Line,,10/6/21 5:52
182,TLD-DRV-R/Etv,Third Line,,10/6/21 8:27
183,TLD-LPV-LPV/r,Third Line,,10/6/21 9:50
184,ABC-3TC-LPV/r,Third Line,,10/6/21 10:59
185,DRV/r-RAL-EFV,Third Line,,10/6/21 17:51
186,TDF-3TC-LPV/r,Third Line,,10/6/21 18:07
187,AZT-3TC-EFV,Third Line,,10/6/21 19:05
188,TDF-3TC-ATV/r,Third Line,,10/6/21 19:22
189,TDF-3TC-ATV/r-DTG,Third Line,,10/6/21 20:16
190,TDF-LPV-LPV/r,Second Line,,10/6/21 20:32
191,TDF-3TC-NVP,Second Line,,10/6/21 21:32
192,ETV-DTG-DRV/r,Third Line,,10/6/21 21:34
193,ABC-3TC-DTG-DRV/r,Third Line,,10/6/21 21:50
194,AZT-3TC-DRV/r,Third Line,,10/7/21 3:46
195,ATV-RTV-XXX-AZT/3TC,Second Line,,10/7/21 8:59
196,ABC/-3TC-RAL,Second Line,,10/7/21 9:21
197,NIL-NIL-NVP-AZT/3TC,First Line,,10/7/21 15:44
198,NIL-NIL-EFV-AZT/3TC,First Line,,10/7/21 15:48
199,NIL-NIL-DTG-TDF/3TC,Second Line,,10/7/21 15:49
200,TDF-DTG-DRV/r,Third Line,,10/7/21 19:00
201,ETR-DRV-DTG,Third Line,,10/7/21 19:58
202,DTG-DRV-RTV,Third Line,,10/7/21 23:16
203,DTG-DRV-RTV,,,10/8/21 5:34
204,DRV-RTV-RTG,Third Line,,10/8/21 5:56
205,AZT-3TC-DTG-DVR,Third Line,,10/8/21 6:24
206,DAR-RTV-DTG-TDF/3TC,Third Line,,10/8/21 6:39
207,AZT/-3TC-NVP,First Line,,10/8/21 7:32
208,000-000-NVP-D4T/3TC,First Line,,10/8/21 8:29
209,000-000-LPV/r-ABC/3TC,Second Line,,10/8/21 8:31
210,000-000-ATV/r-ABC/3TC,Second Line,,10/8/21 8:33
211,ABC-DDI-LPV/r,First Line,,10/8/21 9:05
212,ABC-3TC-DTG,,,10/8/21 11:57
213,ABC-3TC-EFV,,,10/8/21 12:34
214,ABC-3TC-DTG-ARV/r,Third Line,,10/8/21 12:35
215,ABC-3TC-ETR-ATV/r,Third Line,,10/8/21 17:54
216,DRV/r-ETV-DTG,Second Line,,10/8/21 18:07
217,ABC-3TC-EFV,Third Line,,10/8/21 18:19
218,AZT-3TC-DTG-DRV/r,Third Line,,10/8/21 19:05
219,DTG-ETV-DRV/r,Third Line,,10/8/21 19:54
220,D4T-3TC-KAL-ETR/a,First Line,,10/9/21 8:49
221,TDF-3TC-DRV/r-RTV,Third Line,,10/9/21 8:53
222,DTG-ETV-DRV-RTV,Third Line,,10/9/21 9:40
223,TDF-3TC-DTG-DRV/r/ETV/r,Third Line,,10/9/21 10:19
224,DVR/r-ETV-DTG,Third Line,,10/9/21 10:55
225,AZT-3TC-LPV/r,Third Line,,10/9/21 11:33
226,ABC-AZT-3TC-LPV/r,Second Line,,10/9/21 12:28
227,DRV/r-DTG-ETV,Third Line,,10/9/21 12:56
228,ABC-3TC-PLV/r,Second Line,,10/9/21 14:34
229,TDF-3TC-DTG-ATV/r,Third Line,,10/9/21 15:44
230,TDF-3TC-EFV,Third Line,,10/9/21 20:46
231,TLD-ETV-RTV,Third Line,,10/9/21 21:20
232,TLD-ETV-RRT/v,Third Line,,10/9/21 21:24
233,ABC-3TC-EFV,,,10/10/21 3:47
234,TDF-3TC-DTG,,,10/10/21 3:54
235,DRV/r-ETV-RAL,Third Line,,10/10/21 8:30
236,ETR-DRV-RAL,Third Line,,10/10/21 8:37
237,TDF-3TC-DRV/r-DTG,Third Line,,10/10/21 9:15
238,ETR-RAL-DRV/r,Third Line,,10/10/21 9:28
239,ABC-3TC-AZT,First Line,,10/10/21 10:17
240,D4T-3TC-NVP,Third Line,,10/10/21 10:19
241,AZT-3TC-NVP,Third Line,,10/10/21 11:03
242,TDF-FTC-EFV,Second Line,,10/10/21 11:16
243,ABC-3TC-NVP,Third Line,,10/10/21 11:48
244,ABC-DDL-LPV/r,Third Line,,10/10/21 14:57
245,D4T-3TC-NVP,Second Line,,10/10/21 18:09
246,D4T-3TC-NVP,,,10/11/21 14:27
247,ABC-3TC-EFV,,,10/11/21 14:32
248,TDF-3TC-EFV,,,10/11/21 14:33
249,AZT-3TC-ATV/r,Third Line,,10/11/21 16:50
250,ABC-3TC-ATV/r,First Line,,10/11/21 19:20
251,ABC-3TC-ATZ-RTV,Second Line,,10/11/21 20:51
252,ABC-3TC-LPV/r,,,10/13/21 13:30
253,ABC-3TC-LPV/r,,,10/13/21 13:30
254,ABC-3TC-LPV/r,,,10/13/21 13:30
255,ABC-3TC-LPV/r,,,10/13/21 13:30
256,ABC-3TC-LPV/r,,,10/13/21 13:30
257,ABC-3TC-LPV/r,,,10/13/21 13:30
258,ABC-3TC-LPV/r,,,10/13/21 13:31
259,ABC-3TC-LPV/r,,,10/13/21 13:31
260,ABC-3TC-LPV/r,,,10/13/21 13:31
261,ABC-3TC-LPV/r,,,10/13/21 13:31
262,AZT-3TC-RAL/,Second Line,,10/15/21 9:34
263,ABC-3TC-LPV/r,,,10/18/21 11:14
264,ABC/--3TC-LPV/r,Second Line,,10/19/21 12:17
265,DTG-DRV-ETV/r,Third Line,,10/19/21 13:35
266,AZT-3TC-RAL,Third Line,,10/21/21 9:06
267,TDF-3TC-ATV/r-TDF/3TC,Second Line,,10/21/21 11:15
268,TLD-3TC-ATV/r,Second Line,,10/22/21 9:40
269,DRV-RTV-ETV-DTG,Third Line,,10/22/21 11:04
270,DRV-RTV-TLD,Third Line,,10/22/21 11:20
271,ETV-DRV-RAL/r,Third Line,,10/22/21 11:58
272,ABC-3TC-ATV/r,,,10/22/21 13:43
273,DTG-DRV-RTV-ETV,Third Line,,10/22/21 13:55
274,DTG-ETV-DVR-RTV,Third Line,,10/22/21 14:00
275,TDF-3TC-EFV,,,10/22/21 14:12
276,TLD-DRV-ETV,Third Line,,10/24/21 12:17
277,CBV-ATV-RTV,Second Line,,10/25/21 20:30
278,ETR-DTG-DRV/r,Third Line,,10/25/21 22:00
279,TDF-DTG-DVR/r,Third Line,,10/26/21 14:59
280,TDF3t-3TC-DTG-DRV/r,Third Line,,10/26/21 15:37
281,TDF-3TC-DTG-DRV/r/RTV,Third Line,,10/26/21 22:41
282,DTG-DRV-ETR,Third Line,,10/26/21 23:00
283,TDF-FTC-LPV/r,Second Line,,10/27/21 5:45
284,AZT-DDI-LPV/r,Second Line,,10/27/21 5:49
285,TDF-3TC-DTG-DRV/ETR,Third Line,,10/27/21 8:48
286,TDF-3TC-DTG-DRV/r/ETR,Third Line,,10/27/21 9:00
287,TDF-3TC-DTG-ETV/DRV/r,Third Line,,10/27/21 11:01
288,AZT-3TC-DRV/r-RTV,Third Line,,10/27/21 16:20
289,ABT-3TC-ATV/r,Second Line,,10/27/21 20:17
290,AZT-3TC-DTG-DTV/r,Third Line,,10/27/21 20:19
291,ABT-3TC-LPV/r,Second Line,,10/27/21 20:39
292,TDF-3TC-GRV/r,Third Line,,10/27/21 21:05
293,ABC-3TC-NVP,Second Line,,10/28/21 17:50
294,ABC-3TC-SQV-DTG,Third Line,,10/28/21 20:06
295,AZT-DTG-DRV/r-ETR,Third Line,,10/28/21 20:56
296,AZT-3TC-ABC-EFV,First Line,,10/28/21 21:11
297,DTG-DRV-R/Etr,Third Line,,10/28/21 22:00
298,RAL-ETR-DRV/r,Third Line,,10/28/21 22:42
299,RAL-ETV-DRV/r,Third Line,,10/28/21 22:48
300,DAT-3TC-NVP,First Line,,10/29/21 18:58
301,TLD-DRV-R/Etr,Third Line,,10/29/21 19:09
302,DTG-ETR-DUL-RIT,Third Line,,10/30/21 19:05
303,3TC/-TDF-ATV/r,Second Line,,11/1/21 12:12
304,3TC/-TDF-LPV/r,Second Line,,11/1/21 12:17
305,AZT-3TC-ATV/r,,,11/1/21 12:21
306,TAF+3TC+DTG,Second Line,,11/1/21 22:00
307,ABC-3TC-LPV/RTV,Second Line,,11/2/21 12:30
308,AZT-3TC-ATV/r,,,11/2/21 19:30
309,3TC-AZT-LPV/r,First Line,,11/3/21 8:10
310,ABC-3TC-LPV/RTV,First Line,,11/3/21 10:41
311,ABC-3TC-LPV/r,,,11/5/21 8:39
312,ATV-RTV-*****-AZT/3TC,Second Line,,11/8/21 8:24
313,ATV-RTV-***-AZT/3TC,Second Line,,11/8/21 8:35
314,***-***-DTG-AZT/3TC,Second Line,,11/8/21 9:04
315,TDF-3TC-DTG-DRV/r/FTC,Third Line,,11/13/21 16:37
316,...-...-ABC-3TC/NVP,First Line,,11/15/21 4:09
317,...-...-ABC-3TC/LPV/r,First Line,,11/15/21 4:14
318,TDF-3TC-ATV/r,,,11/15/21 15:06
319,TDF-3TC-ATV/RVT,Second Line,,11/16/21 8:45
320,AZT-3TC-NVP,,,11/16/21 9:42
321,TDF-3TC-ATV-R,,,11/16/21 9:44
322,DRV-RTV-DTG-AZT/3TC,Third Line,,11/18/21 9:31
323,TDF-3TC-EFV,,,11/18/21 13:11
324,TDF-3TC-EFV,,,11/19/21 8:06
325,DRV-RTV-DTG/,Third Line,,11/19/21 8:35
326,TDF-3TC-ATVr,Second Line,,11/20/21 15:04
327,3TC-AZT-EFV,First Line,,11/22/21 6:06
328,3TC-D4T-LOP/r,Second Line,,11/22/21 6:08
329,TDF-3TC-LOP/r,Second Line,,11/22/21 6:10
330,3TC-3TC-NVP,First Line,,11/22/21 7:33
331,TDF/-3TC-EFV,First Line,,11/24/21 10:26
332,TDF/-3TC-NVP,First Line,,11/24/21 10:29
333,DTG-ETR-DRV-RTV,Third Line,,11/26/21 7:10
334,ABC-3TC-DTG,,,11/27/21 12:18
335,TDF-3TC-DTG-DRV/RTV/r,Third Line,,11/28/21 17:55
336,ABC-3TC-EFV,,,11/29/21 13:08
337,AZT-3TC-ATZ/r,Second Line,,11/30/21 12:56
338,-/---/--DTG-TDF/3TC,Third Line,,11/30/21 14:57
339,--------DTG-TDF/3TC,Third Line,,11/30/21 15:00
340,DAR/R+RAL+AZT+3TC,Third Line,,12/1/21 5:57
341,DRV+RTV+ETV+RAL,Third Line,,12/1/21 5:57
342,AZT-3TC-DRV/r-DTG/DTG,Third Line,,12/1/21 7:40
343,AZ/t-3TC-ATV/r,Second Line,,12/1/21 11:12
344,DTG-DRV-RTV-TDF/3TC,Third Line,,12/1/21 14:10
345,TDF/-3TC-DTG-DRV/RTV,Third Line,,12/2/21 11:23
346,DRV-RTV-DTG-3TC/TDF,Third Line,,12/3/21 2:55
347,TDF-3TC-ATV/r,,,12/3/21 11:20
348,TDF-3TC-ATV/r,,,12/3/21 11:20
349,ATV/r-3TC-TDF,Second Line,,12/3/21 15:53
350,LPV/r-3TC-AZT,Second Line,,12/3/21 16:03
351,TDF-3TC-DTG-DRV/RTV,,,12/3/21 16:31
352,DRV-RTV-ETR,Third Line,,12/4/21 17:01
353,TDF-3TC-DTG//,Third Line,,12/6/21 15:53
354,TDF-3TC-DTG/DRV/r,Third Line,,12/8/21 11:14
355,ABC-3TC-LPV/r,,,12/9/21 12:42
356,TDF-3TC-DTG,,,12/14/21 7:56
357,TDF-3TC-TDG,Third Line,,12/14/21 10:24
358,3TC-TDF-DTG-DRV/RIT,Third Line,,12/14/21 13:44
359,AZT+DRV+RTV,Third Line,,12/15/21 7:48
360,TDF/-3TC-DTG,First Line,,12/16/21 10:03
361,AZT/-3TC-ATV/r,Second Line,,12/16/21 10:06
362,000-000-LPV/r-ABC/3TC,First Line,,12/16/21 16:06
363,000-000-NVP-AZT/3TC,First Line,,12/16/21 16:08
364,TAF+3TC+DRV/r,Second Line,,12/17/21 1:00
365,DRV+RTV+DTG+ETV,Third Line,,12/17/21 1:00
366,AZT-3TC-ATV/r,,,12/19/21 12:54
367,RAL-3TC-LPV/r,Second Line,,12/20/21 12:46
368,AZT-3TC-EFV,,,12/21/21 7:40
369,AZT-3TC-EFV,,,12/21/21 7:40
370,AZT-3TC-EFV,,,12/21/21 7:43
371,AZT-3TC-ATV/r,,,12/21/21 9:16
372,DTG-DRV-DTG,Third Line,,12/22/21 4:58
373,TDF-FTC-EFV,First Line,,12/22/21 10:32
374,TDF-3TC-DRV-RTV,Third Line,,12/23/21 10:31
375,TDF-3TC-DTG/-DRV/r/ETV,Third Line,,12/23/21 10:36
376,AZT-3TC-FTC,First Line,,12/29/21 11:26
377,AZT-3TC-3TC/NVP,First Line,,1/6/22 18:50
378,TDF-3TC-ATV/r,,,1/10/22 11:28
379,ABC-3TC-EFV/3TC,First Line,,1/10/22 12:30
380,2C=-AZT-3TC/ATV/r,Second Line,,1/11/22 9:22
381,2C=-AZT-3TC/ATV/r,,,1/11/22 9:34
382,ABC-3TC-LOPvr,Second Line,,1/11/22 10:33
383,TDF-3TC-ATZ,Second Line,,1/11/22 11:51
384,AZT-3TC-NVP,,,1/11/22 14:04
385,AZT-3TC-NVP,,,1/11/22 14:04
386,AZT-3TC-NVP,,,1/11/22 14:04
387,AZT-3TC-NVP,,,1/11/22 14:05
388,AZT-3TC-NVP,,,1/11/22 14:05
389,AZT-3TC-NVP,,,1/11/22 14:08
390,AZT-3TC-NVP,,,1/11/22 14:08
391,AZT-3TC-NVP,,,1/11/22 14:08
392,AZT-3TC-NVP,,,1/11/22 14:08
393,AZT-3TC-NVP,,,1/11/22 14:08
394,AZT-3TC-NVP,,,1/11/22 14:08
395,AZT-3TC-NVP,,,1/11/22 14:08
396,AZT-3TC-NVP,,,1/11/22 14:08
397,AZT-3TC-NVP,,,1/11/22 14:08
398,AZT-3TC-NVP,,,1/11/22 14:08
399,ABC-3TC-EFV,,,1/11/22 14:17
400,AZT-3TC-EFV,,,1/11/22 14:23
401,AZT-3TC-LPV/RTV,Second Line,,1/12/22 9:17
402,TDF-3TC-ATV/RTV,Second Line,,1/12/22 9:32
403,AZT-3TC-ATV/r,,,1/12/22 12:11
404,AZT-3TC-ATV-RTV,Second Line,,1/14/22 7:01
405,AZT-3TC-ATV-RTV,,,1/14/22 12:40
406,AZT-3TC-ATV-RTV,,,1/14/22 12:40
